u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
97834703,97839373,Λιοσίων,secondary,False,16.698999999999998,2,,,,30.0,,,,,126
97834761,8253823131,Μάρνη,secondary,True,11.855,2,,,,,,,,,127
97834765,95663524,Σωνιέρου,residential,True,47.75,,,,,,,,,,128
97834765,95663499,Βατσαξή,residential,False,75.731,,,,,,,,,,129
97834824,97834765,Σωνιέρου,residential,True,47.71,,,,,,,,,,130
97834824,97834834,Κωσταντίνου Παλαιολόγου,residential,True,66.841,,,,,,,,,,131
97834829,97834834,Λιοσίων,secondary,True,93.292,2,,,,30.0,,,,,132
97834829,97834824,Σωνιέρου,residential,True,64.396,,,,,,,,,,133
97834834,95663474,Λιοσίων,secondary,True,22.332,2,,,,30.0,,,,,134
97834909,633562896,Κωσταντίνου Παλαιολόγου,residential,True,26.873,,,,,,,,,,135
97834909,97839355,Ακομινάτου,residential,True,48.005,,,,,,,,,,136
97835127,97834909,Ακομινάτου,residential,True,47.708,,,,,,,,,,137
97839355,97839357,Ακομινάτου,residential,True,12.631,,,,,,,,,,138
97839357,97839373,Σαχίνη,residential,True,79.163,,,,,,,,,,139
97839373,97834703,Λιοσίων,secondary,False,16.698999999999998,2,,,,30.0,,,,,140
97839373,8212395769,Λιοσίων,secondary,False,9.792,2,,,,30.0,,,,,141
97846089,97846098,Λυκούργου,residential,True,48.996,,,,,,,,,,142
98303817,95663502,Φαβιέρου,residential,True,41.414,1,,,,,,,,,143
250691664,250702474,Αρσάκη,residential,True,117.668,1,,,,,,,,,144
250691664,250691665,Σταδίου,primary,True,101.10200000000002,3,,ΕΟ1,,,,,,,145
250691665,250691666,Σταδίου,primary,True,114.85,3,,ΕΟ1,,,,,,,146
250691665,6376633339,Πεσμαζόγλου,tertiary,True,76.57400000000001,1,,,,,,,,,147
250691666,250709582,Σταδίου,primary,True,91.842,3,,ΕΟ1,,,,,,,148
