episode,step,state,action,next_state,reward,trajectory
7,,,,,,"[{'state': 300, 'action': 1}, {'state': 198, 'action': 1}, {'state': 196, 'action': 1}, {'state': 195, 'action': 1}, {'state': 180, 'action': 1}, {'state': 315, 'action': 1}, {'state': 185, 'action': 1}, {'state': 179, 'action': 2}, {'state': 418, 'action': 1}, {'state': 251, 'action': 1}, {'state': 164, 'action': 1}, {'state': 174, 'action': 0}, {'state': 159, 'action': 0}, {'state': 167, 'action': 1}, {'state': 166, 'action': 0}]"
8,1.0,345.0,1.0,169.0,0.45533081889152527,
8,2.0,169.0,0.0,369.0,0.5599194765090942,
8,3.0,369.0,0.0,168.0,0.6722384095191956,
8,4.0,168.0,1.0,374.0,0.8303844928741455,
8,5.0,374.0,1.0,156.0,0.7747340202331543,
8,6.0,156.0,0.0,157.0,0.6922615170478821,
8,7.0,157.0,0.0,176.0,0.6530195474624634,
8,8.0,176.0,0.0,177.0,0.8459780812263489,
8,9.0,177.0,0.0,189.0,0.6503454446792603,
8,10.0,189.0,1.0,190.0,0.7120901942253113,
8,11.0,190.0,0.0,211.0,0.6739474534988403,
8,12.0,211.0,1.0,202.0,0.8359827995300293,
8,13.0,202.0,0.0,235.0,0.5369843244552612,
8,14.0,235.0,0.0,246.0,0.4671459496021271,
8,15.0,246.0,0.0,34.0,0.7374008893966675,
8,16.0,34.0,0.0,33.0,0.688323974609375,
8,17.0,33.0,0.0,31.0,0.5372264385223389,
8,18.0,31.0,0.0,357.0,0.48400047421455383,
8,19.0,357.0,0.0,40.0,0.689556896686554,
8,20.0,40.0,1.0,49.0,0.8939894437789917,
8,21.0,49.0,1.0,364.0,0.616534948348999,
8,22.0,364.0,1.0,48.0,3.2867419719696045,
8,23.0,48.0,0.0,44.0,0.552212119102478,
8,24.0,44.0,0.0,51.0,0.8746708035469055,
